CM-DEPARTMENT OF COMMERCE,46478
VA-DEPARTMENT OF VETERANS AFFAIRS,116528
HS-DEPARTMENT OF HOMELAND SECURITY,101335
TD-DEPARTMENT OF TRANSPORTATION,125239
VA-DEPARTMENT OF VETERANS AFFAIRS,67145
HS-DEPARTMENT OF HOMELAND SECURITY,41112
SB-SMALL BUSINESS ADMINISTRATION,149432
VA-DEPARTMENT OF VETERANS AFFAIRS,47376
HS-DEPARTMENT OF HOMELAND SECURITY,85215
EP-ENVIRONMENTAL PROTECTION AGENCY,141355
DJ-DEPARTMENT OF JUSTICE,117336
HS-DEPARTMENT OF HOMELAND SECURITY,119752.06
VA-DEPARTMENT OF VETERANS AFFAIRS,63654
CM-DEPARTMENT OF COMMERCE,141555
SZ-SOCIAL SECURITY ADMINISTRATION,84320
EP-ENVIRONMENTAL PROTECTION AGENCY,110256.21
VA-DEPARTMENT OF VETERANS AFFAIRS,63175
FD-FEDERAL DEPOSIT INSURANCE CORPORATION,59635
NL-NATIONAL LABOR RELATIONS BOARD,160300
FD-FEDERAL DEPOSIT INSURANCE CORPORATION,172120
FD-FEDERAL DEPOSIT INSURANCE CORPORATION,161106
VA-DEPARTMENT OF VETERANS AFFAIRS,85089
HS-DEPARTMENT OF HOMELAND SECURITY,46371
DJ-DEPARTMENT OF JUSTICE,168845
VA-DEPARTMENT OF VETERANS AFFAIRS,48564.49
TR-DEPARTMENT OF THE TREASURY,84320
VA-DEPARTMENT OF VETERANS AFFAIRS,69120
TR-DEPARTMENT OF THE TREASURY,153702
CM-DEPARTMENT OF COMMERCE,92316
VA-DEPARTMENT OF VETERANS AFFAIRS,50703
VA-DEPARTMENT OF VETERANS AFFAIRS,97162
CM-DEPARTMENT OF COMMERCE,34787
TD-DEPARTMENT OF TRANSPORTATION,152277
IN-DEPARTMENT OF THE INTERIOR,101043
HS-DEPARTMENT OF HOMELAND SECURITY,75747
HS-DEPARTMENT OF HOMELAND SECURITY,106931
TR-DEPARTMENT OF THE TREASURY,182564
HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES,133442.78
VA-DEPARTMENT OF VETERANS AFFAIRS,74217
AG-DEPARTMENT OF AGRICULTURE,58759
HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES,119776
AG-DEPARTMENT OF AGRICULTURE,137926
VA-DEPARTMENT OF VETERANS AFFAIRS,49354
VA-DEPARTMENT OF VETERANS AFFAIRS,50588.88
HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES,157971
HS-DEPARTMENT OF HOMELAND SECURITY,57830.77
HS-DEPARTMENT OF HOMELAND SECURITY,98476
TD-DEPARTMENT OF TRANSPORTATION,185100
EP-ENVIRONMENTAL PROTECTION AGENCY,160300
AG-DEPARTMENT OF AGRICULTURE,85230
VA-DEPARTMENT OF VETERANS AFFAIRS,77121
ED-DEPARTMENT OF EDUCATION,116502
SZ-SOCIAL SECURITY ADMINISTRATION,101067
TR-DEPARTMENT OF THE TREASURY,129723
ST-DEPARTMENT OF STATE,73510
TD-DEPARTMENT OF TRANSPORTATION,111314
EP-ENVIRONMENTAL PROTECTION AGENCY,107859
ST-DEPARTMENT OF STATE,73510
IN-DEPARTMENT OF THE INTERIOR,36025
VA-DEPARTMENT OF VETERANS AFFAIRS,38426
HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES,116722
VA-DEPARTMENT OF VETERANS AFFAIRS,110941
DJ-DEPARTMENT OF JUSTICE,149432
VA-DEPARTMENT OF VETERANS AFFAIRS,97557
VA-DEPARTMENT OF VETERANS AFFAIRS,108816
HS-DEPARTMENT OF HOMELAND SECURITY,101335
TR-DEPARTMENT OF THE TREASURY,69217
VA-DEPARTMENT OF VETERANS AFFAIRS,84443
IN-DEPARTMENT OF THE INTERIOR,87582
VA-DEPARTMENT OF VETERANS AFFAIRS,59854
VA-DEPARTMENT OF VETERANS AFFAIRS,78095
IN-DEPARTMENT OF THE INTERIOR,118018
HS-DEPARTMENT OF HOMELAND SECURITY,71012
VA-DEPARTMENT OF VETERANS AFFAIRS,51722
DJ-DEPARTMENT OF JUSTICE,109781
VA-DEPARTMENT OF VETERANS AFFAIRS,100736
HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES,48968
VA-DEPARTMENT OF VETERANS AFFAIRS,123086
VA-DEPARTMENT OF VETERANS AFFAIRS,76963
SZ-SOCIAL SECURITY ADMINISTRATION,77019
VA-DEPARTMENT OF VETERANS AFFAIRS,49733.21
VA-DEPARTMENT OF VETERANS AFFAIRS,81783
VA-DEPARTMENT OF VETERANS AFFAIRS,73364
VA-DEPARTMENT OF VETERANS AFFAIRS,81374
VA-DEPARTMENT OF VETERANS AFFAIRS,175500
HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES,110578
AG-DEPARTMENT OF AGRICULTURE,36025
FC-FEDERAL COMMUNICATIONS COMMISSION,92987
CM-DEPARTMENT OF COMMERCE,36895
ST-DEPARTMENT OF STATE,73270
ST-DEPARTMENT OF STATE,73510
GS-GENERAL SERVICES ADMINISTRATION,95884
ST-DEPARTMENT OF STATE,82158
VA-DEPARTMENT OF VETERANS AFFAIRS,186245
HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES,130325
TR-DEPARTMENT OF THE TREASURY,211640
TR-DEPARTMENT OF THE TREASURY,49672
ST-DEPARTMENT OF STATE,75672
IN-DEPARTMENT OF THE INTERIOR,78114
HS-DEPARTMENT OF HOMELAND SECURITY,90701
GS-GENERAL SERVICES ADMINISTRATION,93293
EP-ENVIRONMENTAL PROTECTION AGENCY,141555
VA-DEPARTMENT OF VETERANS AFFAIRS,71326
TD-DEPARTMENT OF TRANSPORTATION,110943
VA-DEPARTMENT OF VETERANS AFFAIRS,34247.67
VA-DEPARTMENT OF VETERANS AFFAIRS,123812
VA-DEPARTMENT OF VETERANS AFFAIRS,82583
HS-DEPARTMENT OF HOMELAND SECURITY,102324
CM-DEPARTMENT OF COMMERCE,142018
ST-DEPARTMENT OF STATE,104777
TD-DEPARTMENT OF TRANSPORTATION,77744
TD-DEPARTMENT OF TRANSPORTATION,88952
VA-DEPARTMENT OF VETERANS AFFAIRS,98956
CM-DEPARTMENT OF COMMERCE,30207
SM-SMITHSONIAN INSTITUTION,119794
HS-DEPARTMENT OF HOMELAND SECURITY,107859
VA-DEPARTMENT OF VETERANS AFFAIRS,81905
VA-DEPARTMENT OF VETERANS AFFAIRS,51270
DJ-DEPARTMENT OF JUSTICE,157971
